"Date","Shift","Leave","Fever","Sick","Injured_Surgery","Hospitalized","Natural_Disaster","Sick_Related","Family_member_Sick","Family_Issue","Baby_sitting","Funeral","Interview_Educational_Other","Family_Related","Work_Related","Transport_Related","Unauthorized","total_absent_shift"
2022-05-12,"A",17,3,5,2,1,0,11,4,3,2,3,2,14,4,2,2,75
2022-05-12,"B",22,3,10,4,0,0,17,7,1,3,4,1,16,0,2,2,92
2022-05-13,"A",17,6,8,7,0,0,21,9,8,1,2,4,24,4,2,6,119
2022-05-13,"B",23,2,14,2,0,1,19,7,1,2,3,0,13,1,0,1,89
2022-05-14,"A",16,5,9,1,2,1,18,6,4,3,3,4,20,3,3,3,101
2022-05-14,"B",22,3,10,4,0,0,17,7,1,3,4,1,16,0,2,2,92
2022-05-17,"A",16,5,9,1,2,1,18,6,4,3,3,4,20,3,3,3,101
2022-05-17,"B",26,6,13,1,1,0,21,5,5,4,3,2,19,2,2,0,110
2022-05-18,"A",13,6,7,2,1,1,17,6,4,3,3,3,19,3,5,5,98
2022-05-18,"B",27,5,14,5,0,1,25,6,7,1,2,0,16,3,1,3,116
2022-05-19,"A",6,2,4,1,2,0,9,4,2,0,5,4,15,3,3,2,62
2022-05-19,"B",23,4,16,3,0,0,23,7,9,1,1,1,19,3,1,0,111
2022-05-20,"A",18,4,11,2,2,0,19,2,4,0,4,4,14,2,4,4,94
2022-05-20,"B",39,2,8,3,1,0,14,6,7,0,5,0,18,3,0,4,110
2022-05-21,"A",19,2,10,2,1,0,15,4,3,1,6,6,20,3,2,3,97
2022-05-21,"B",28,1,13,4,1,0,19,5,6,1,1,1,14,3,1,1,99
2022-05-23,"A",32,5,11,2,1,0,19,1,4,2,4,1,12,1,3,4,102
2022-05-23,"B",20,6,9,7,2,1,25,11,6,1,2,0,20,3,2,1,116
2022-05-24,"A",20,6,14,3,3,0,26,3,5,2,4,1,15,1,2,7,112
2022-05-24,"B",16,5,15,7,2,0,29,5,3,1,2,0,11,4,1,2,103
2022-05-25,"A",26,6,5,4,4,1,20,4,5,5,2,2,18,0,2,3,107
2022-05-25,"B",28,5,16,0,1,0,22,9,5,2,1,1,18,1,1,1,111
2022-05-26,"A",32,11,6,1,1,0,19,2,4,3,1,4,14,1,1,3,103
2022-05-26,"B",23,8,16,3,1,0,28,6,6,2,2,8,24,1,0,1,129
2022-05-27,"A",19,4,7,2,4,0,17,2,8,2,0,2,14,0,2,1,84
2022-05-27,"B",25,4,16,4,1,0,25,5,9,1,1,0,16,1,0,3,111
2022-05-28,"A",23,3,12,3,3,0,21,4,9,4,2,2,21,0,2,3,112
2022-05-28,"B",26,5,7,4,1,0,17,7,7,1,0,1,16,3,0,6,101
2022-05-30,"A",9,3,3,5,1,0,12,3,5,2,3,4,17,2,2,4,75
2022-05-30,"B",20,6,6,1,6,0,19,7,8,1,0,2,18,4,0,2,100
2022-05-31,"A",7,9,8,3,2,1,23,5,4,2,2,3,16,1,0,3,89
2022-05-31,"B",26,7,11,2,2,0,22,6,12,2,2,1,23,1,0,3,120
2022-06-01,"A",17,6,8,2,4,1,21,1,6,4,1,1,13,1,1,3,90
2022-06-01,"B",25,13,20,3,2,1,39,3,10,2,1,2,18,3,0,3,145
2022-06-02,"A",22,8,4,1,5,0,18,1,3,1,0,5,10,0,1,2,81
2022-06-02,"B",28,15,7,2,3,0,27,0,6,0,3,3,12,3,0,2,111
2022-06-03,"A",21,8,3,2,6,0,19,0,3,0,3,1,7,0,1,2,76
2022-06-03,"B",26,16,12,2,1,0,31,0,8,2,2,3,15,2,0,4,124
2022-06-04,"A",24,8,11,3,3,0,25,0,4,1,4,0,9,0,0,6,98
2022-06-04,"B",17,11,16,5,2,0,34,0,4,1,1,3,9,3,0,2,108
2022-06-06,"A",23,15,6,2,5,0,28,0,4,1,4,2,11,0,0,4,105
2022-06-06,"B",15,16,17,5,2,0,40,0,7,1,2,5,15,5,0,5,135
2022-06-07,"A",23,13,16,4,6,0,39,0,6,2,3,3,14,1,1,1,132
2022-06-07,"B",28,4,7,0,3,0,14,0,2,1,2,1,6,3,0,13,84
2022-06-08,"A",28,20,3,4,1,0,28,0,6,1,4,1,12,0,0,3,111
2022-06-08,"B",10,16,9,2,5,0,32,0,3,0,3,1,7,6,0,8,102
2022-06-09,"A",24,19,6,4,1,0,30,0,5,1,4,3,13,1,0,1,112
2022-06-09,"B",29,4,7,2,6,0,19,0,1,2,2,1,6,5,0,7,91
2022-06-10,"A",28,11,4,6,4,0,25,0,4,2,3,2,11,1,0,2,103
2022-06-10,"B",36,6,7,0,3,0,16,0,1,0,1,1,3,5,0,6,85
2022-06-11,"A",23,13,16,4,6,0,39,0,6,2,3,3,14,1,1,1,132
2022-06-11,"B",28,4,7,0,3,0,14,0,2,1,2,1,6,3,0,13,84
2022-06-13,"A",37,12,4,8,0,7,31,0,1,6,1,0,8,1,4,9,129
2022-06-13,"B",28,4,7,0,3,0,14,0,2,1,2,1,6,3,0,13,84
2022-06-15,"A",37,12,4,7,0,10,33,0,1,6,2,0,9,1,7,7,136
2022-06-15,"B",20,0,3,1,2,0,6,0,2,2,2,2,8,0,3,7,58
2022-06-16,"A",26,8,5,5,0,6,24,0,0,2,0,0,2,2,3,3,86
2022-06-16,"B",36,5,8,2,0,0,15,0,2,1,4,5,12,2,1,5,98
2022-06-17,"A",22,14,7,5,5,0,31,4,4,1,4,1,14,0,0,4,116
2022-06-17,"B",24,6,10,2,3,0,21,7,1,1,4,4,17,2,0,4,106
2022-06-18,"A",19,19,9,5,5,0,38,3,7,0,3,1,14,1,0,7,131
2022-06-18,"B",31,3,13,4,5,0,25,5,0,1,4,4,14,3,0,5,117
2022-06-20,"A",22,14,7,5,5,0,31,4,4,1,4,1,14,0,0,4,116
2022-06-20,"B",31,3,13,4,5,0,25,5,0,1,4,4,14,3,0,5,117
2022-06-21,"A",20,12,9,2,1,0,24,8,8,0,1,1,18,1,1,2,108
2022-06-21,"B",36,2,8,4,1,0,15,8,2,3,0,2,15,3,0,3,102
2022-06-22,"A",19,6,8,3,0,0,17,8,7,2,6,0,23,0,0,2,101
2022-06-22,"B",36,2,8,4,1,0,15,8,2,3,0,2,15,3,0,3,102
2022-06-23,"A",22,10,6,3,0,0,19,4,4,2,6,1,17,0,0,0,94
2022-06-23,"B",24,2,10,3,1,0,16,6,2,1,0,1,10,0,0,2,78
2022-06-24,"A",19,8,7,4,1,0,20,1,4,0,3,1,9,0,0,0,77
2022-06-24,"B",25,1,7,4,2,0,14,8,3,0,3,1,15,0,0,1,84
2022-06-25,"A",24,2,10,3,1,0,16,6,2,1,0,1,10,0,0,2,78
2022-06-25,"B",25,1,7,4,2,0,14,8,3,0,3,1,15,0,0,1,84
2022-06-27,"A",18,7,10,2,2,0,21,2,4,1,4,3,14,2,0,1,91
